Store Name,Street Number,Street Name,Addl Address,City,State,Zip,County Name
East Vancouver Farmers Market,17701,SE Mill Plain Blvd,,Vancouver,WA,98683,CLARK
Eastern Market Corporation,2934,Russell St,,Detroit,MI,48207,WAYNE
Easters Farmers Market,5900,South 12th Ave,,Tucson,AZ,85705,PIMA
Easthampton Farmers,50,Payson Ave,,Easthampton,MA,01027,HAMPSHIRE
Eastie Farms,294,Sumner St,,East Boston,MA,02128,SUFFOLK
Easton Farmers' Market,,Centre Square,,Easton,PA,18042,NORTHAMPTON
Eastside Farmer Market Tacoma,3500,McKinley Ave,,Tacoma,WA,98404,PIERCE
Eastside Farmer's Market,1721,E 56th St,,Tacoma,WA,98404,PIERCE
Eastside Farmers' Market,202,S Ingersoll St,,Madison,WI,53703,DANE
Eastside Fresh Market,2500,Ne 63rd St,,Oklahoma City,OK,73111,OKLAHOMA
Eastside Sunday Market,2200,Martin Luther King Jr Ave,,Knoxville,TN,37915,KNOX
Eaton Rapids Farmer's Market,114,Hall St,,Eaton Rapids,MI,48827,EATON
Eau Claire Downtown Farmer's Market,300,Riverfront Ter,,Eau Claire,WI,54703,EAU CLAIRE
Ebenezer Farmers Market,1001,Ebenezer Rd,,Knoxville,TN,37923,KNOX
Echo Park FM - Sust Econ Enterp of LA,1220,Logan St,,Los Angeles,CA,90026,LOS ANGELES
Ecology Center Farmers Market Tuesday S Berkley,,63rd St & Adeline St,,BERKELEY,CA,94704,ALAMEDA
Ecology Center Farmers' Market - Saturday Downtown,,Center St & MLK Wy,,Berkeley,CA,94704,ALAMEDA
Ecology Center Farmers' Market - Thursday N. Berk,,Shattuck Ave. & Rose St.,,Berkeley,CA,94703,ALAMEDA
Eden Farm Stand,1245,Culver Rd,,Rochester,NY,14609,MONROE
Eden Place Farmers Market,4417,S Stewart Ave,,Chicago,IL,60609,COOK
Eden's Organic Garden Center Farmers' Market,4710,Pioneer Rd,,Balch Springs,TX,75180,DALLAS
Edenton Farmers Market,200,N Broad St,,Edenton,NC,27932,CHOWAN
Edgemere Farm,385,Beach 45th St,,Far Rockaway,NY,11691,QUEENS
Edgewood Upo Family Share,601,Edgewood St NE,,Washington,DC,20017,DIST OF COLUMBIA
Educare Family Share,640,Anacostia Ave NE,,Washington,DC,20019,DIST OF COLUMBIA
El Mercado,13001,Main Street,,Watsonville,CA,95076,SANTA CRUZ
El Monte Farmers Market,10700,Main St,,El Monte,CA,91731,LOS ANGELES
El Paseo Market,966,W 21st St,,Chicago,IL,60608,COOK
El Pueblo Farmers Market,301,N Union Ave,,Pueblo,CO,81003,PUEBLO
Elberta Community Farmers Market,1098,Lake St,,Elberta,MI,49628,BENZIE
Eldorado Farmers' Market,7,Caliente Road,,Santa Fe,NM,87508,SANTA FE
Elgin Farmers Market,51,Spring Street,,Elgin,IL,60120,KANE
Elgin Farmers Market,31,S Grove Ave,,Elgin,IL,60120,KANE
Elgin Farmers' Market,109,Depot Street,,Elgin,TX,78621,BASTROP
Ellenville Market On Market,11,Market St,,Ellenville,NY,12428,ULSTER
Ellington Farmers Market,31,Arbor Way,,Ellington,CT,06029,TOLLAND
Ellsworth Farmers Market,190,Main St,,Ellsworth,ME,04605,HANCOCK
Elmwood Bidwell Farmers Market,,Crn Elmwood Ave. & Bidwell,Olmstead park System,Buffalo,NY,14222,ERIE
Ember Acres Farmers Market,1924,Corley Rd,,Hephzibah,GA,30815,BURKE
Emerson Market,3600,Emerson Ave,,Parkersburg,WV,26104,WOOD
Emerson-garfield Farmers' Market,2310,N Monroe St,,Spokane,WA,99205,SPOKANE
Emmett Farmers Market,1,Washington & Park St.,Blaser Park,Emmett,ID,83617,GEM
Empire State Plaza Farmers Market,,Empire State Plaza,,Albany,NY,12242,ALBANY
Emporia Farmers Market,,7th & Merchant,,Emporia,KS,66801,LYON
En Route,301,N 6th St,,Muskogee,OK,74401,MUSKOGEE
Enchanted Mountains Farmers Market,1900,Constitution Ave,,Olean,NY,14760,CATTARAUGUS
Englewood Farmers Market,348,Green Street,,Englewood,FL,34223,SARASOTA
Enka-candler Tailgate Market,1465,Sand Hill Rd,,Candler,NC,28715,BUNCOMBE
Ennis Bluebonnet Market,119,N Dallas St,,Ennis,TX,75119,ELLIS
Ennis Farmers Market,104,N McKinney St,,Ennis,TX,75119,ELLIS
"Eno River Farmer's Market, Inc.",144,E Margaret Ln,,Hillsborough,NC,27278,ORANGE
Enumclaw Plateau Farmers' Market,1600,First Street,,Enumclaw,WA,98022,KING
Erie Farmers' Market,600,Briggs St,,Erie,CO,80516,BOULDER
Erwin Farmers' Market,100,N Main Ave,,Erwin,TN,37650,UNICOI
Escalante Community Garden,2150,E Orange St,,Tempe,AZ,85281,MARICOPA
Espanola Farmers Market,1005,N Railroad Ave,,Espanola,NM,87532,RIO ARRIBA
Esther Manor Farmers' Market,50,Eleanor Ave,,Summerville,GA,30747,CHATTOOGA
Eugene Station Farmers' Market,410,S Logan St,,Cayuga,IN,47928,VERMILLION
Eureka Farmer's Market,420,Dewey Ave,,Eureka,MT,59917,LINCOLN
Eutaw Springs Community Farmers Market,12933,Old Number Six Hwy,,Eutawville,SC,29048,ORANGEBURG
Evanston Farmers' Market,,Oak and East Railroad,,Evanston,IL,60201,COOK
Evart Farmers' Market,200,S Main St,,Evart,MI,49631,OSCEOLA
Eventrockit Llc,2801,Atlantic Ave,,Long Beach,CA,90806,LOS ANGELES
Everett Farmers Market,2930,Wetmore Ave,,Everett,WA,98201,SNOHOMISH
Everett Station Farmers Market,2333,32nd,,Everett,WA,98201,SNOHOMISH
Evergreen Farmers' Market,4055,Evergreen Village Sq,,San Jose,CA,95135,SANTA CLARA
Evr Markets,3782,W Martin Luther King Jr Blvd,,Los Angeles,CA,90008,LOS ANGELES
Excelsior Farmers Market,108,S Thompson Ave,,Excelsior Springs,MO,64024,CLAY
Exeter Farmers Market,100,Academic Way,,Stratham,NH,03885,ROCKINGHAM
Experimental Station,6100,S Blackstone Ave,,Chicago,IL,60637,COOK
Experimental Station - 2,6100,S Blackstone Ave,,Chicago,IL,60637,COOK
Eyota Farmers Market,303,5th St SW,,Eyota,MN,55934,OLMSTED
F St Farmers Market,3201,F St,,Bakersfield,CA,93301,KERN
F St Neighborhood Farmers' Market,1302,F St,,Lincoln,NE,68508,LANCASTER
F2m At Mueller Farmers Market,4550,Mueller Blvd,,Austin,TX,78723,TRAVIS
F2m Texas At Cedar Park Farmers Market,11200,Lakeline Blvd,,Cedar Park,TX,78613,WILLIAMSON
Fair Farmers Market,135,E Griggs Ave,E Gr,Las Cruces,NM,88001,DONA ANA
Fair Oaks Farmers' Market,11549,Fair Oaks Blvd,,Fair Oaks,CA,95628,SACRAMENTO
Fair Play Farmers Market,4302,S 31st Rd,,Fair Play,MO,65649,POLK
Fairfax Community Farmers Market,124,Bolinas Rd,,Fairfax,CA,94930,MARIN
Fairfield Farmers And Artisans Market,117,E Washington St,,Winnsboro,SC,29180,FAIRFIELD
Fairfield Farmers Mkt-VillageGreen Organic Produce,81,Main St,,Fairfield,ME,04937,KENNEBEC
Fairfield Farmers' Market,700,Texas St,,Fairfield,CA,94533,SOLANO
"Fairgate Farm, Inc.",129,Stillwater Ave,,Stamford,CT,06902,FAIRFIELD
Fairview Farmers Market,60,W Fairview Ave,,Montgomery,AL,36105,MONTGOMERY
Fairview Sunday Market,22320,NE Halsey St,,Fairview,OR,97024,MULTNOMAH
Fairwood Farmers Market,319,W Hastings Rd,,Spokane,WA,99218,SPOKANE
Faith Farms and Orchard,656,Carolina St,,Gary,IN,46402,LAKE
Fallbrook Farmers' Market,600,Fallbrook Blvd,,Lincoln,NE,68521,LANCASTER
Falls Church Farmers Market,223,Little Falls St,,Falls Church,VA,22046,Falls Church City
Falmouth Farmers' Market Inc.,180,Scranton Ave,,Falmouth,MA,02540,BARNSTABLE
Far Eastside Farmers Market,8902,E 38th St,,Indianapolis,IN,46226,MARION
Farm & Artisan Market At The Villa,140,N Main St,,Warsaw,NY,14569,WYOMING
Farm Alliance Of Baltimore,400,E 32nd St,,Baltimore,MD,21218,BALTIMORE CITY
"Farm And Garden Market Cooperative Association, In",650,Newtown Pike,,Lexington,KY,40508,FAYETTE
"Farm And Garden Market Cooperative Association, In",1801,Alexandria Dr,Parking lot,Lexington,KY,40504,FAYETTE
Farm Credit Farmers Market,3114B,Wayne Memorial Dr,,Goldsboro,NC,27534,WAYNE
Farm Fresh Beef And Produce LLC,696,Hightower Trl,,Ball Ground,GA,30107,CHEROKEE
Farm Fresh Providence Farmers Market,10,Sims Ave,,Providence,RI,02909,PROVIDENCE
Farm To Fork Farmers' Market,120,S Kimball Ave,,Caldwell,ID,83605,CANYON
Farmer Browns Marketplace Llc,4280,Route 434,,Apalachin,NY,13732,TIOGA
Farmer George Farmers Markets,201,University Oaks Blvd,,Round Rock,TX,78664,WILLIAMSON
Farmer Market Near You Llc,4717,49th St N,,Saint Petersburg,FL,33709,PINELLAS
Farmer's Market at Central Park,700,S Broadway St,,Moore,OK,73160,CLEVELAND
Farmer's Market At D'youville,320,Porter Ave,,Buffalo,NY,14201,ERIE
Farmer's Market Out Wayne,140,Shirley Burgess Park Road,,Wayne,WV,25570,WAYNE
Farmers And Crafts Market Of Las Cruces Inc,221,N Main St,,Las Cruces,NM,88001,DONA ANA
Farmers Community Market at Brookside,6425,Wornall Rd,,Kansas City,MO,64113,JACKSON
Farmers Market 365,5012,2nd Ave,,Kearney,NE,68847,BUFFALO
Farmers Market At Broad St,563,Broad St,,Hartford,CT,06106,HARTFORD
Farmers Market At Forest Park,300,Trafton Rd,,Springfield,MA,01108,HAMPDEN
Farmers Market at Harvard,1,Oxford St,,Cambridge,MA,02138,MIDDLESEX
Farmers Market At Libby,905,W 9th St,,Libby,MT,59923,LINCOLN
Farmers Market At Mad,105,E Locust St,,El Dorado,AR,71730,UNION
Farmers Market At Mill Park,32,Northern Ave,,Augusta,ME,04330,KENNEBEC
Farmers Market At North Park,849,Sharpe Rd,,Burlington,NC,27217,ALAMANCE
Farmers Market at Pumpkin Vine Farm,217,Hewett Rd,,Somerville,ME,04348,LINCOLN
Farmers Market At Robbins Island,Hwy 71,S N,,Willmar,MN,56201,KANDIYOHI
Farmers Market at Sandpoint,,Main St,,Sandpoint,ID,83864,BONNER
Farmers Market At The Fairground,620,Apple St,,Greenfield,IN,46140,HANCOCK
Farmers Market At The Grove School,11126,Iowa St,,Redlands,CA,92373,SAN BERNARDINO
"Farmers Market At The Heights, Food Access Program",8625,Brandt Pike,,Dayton,OH,45424,MONTGOMERY
Farmers Market Festival,1855,5th Ave,,Aurora,IL,60504,DU PAGE
"Farmers Market In Liberal, Ks",1195,N Kansas Ave,,Liberal,KS,67901,SEWARD
Farmers Market Of Carbondale,2101,W Main St,,Carbondale,IL,62901,JACKSON
Farmers Market Of Cumberland County,204,S Main St,,Burkesville,KY,42717,CUMBERLAND
Farmers Market Of Keene,53,Gilbo Ave,,Keene,NH,03431,CHESHIRE
Farmers Market Of Medina County,3939,Granger Rd,,Medina,OH,44256,MEDINA
Farmers Market Of Medina County,3916,Pearl Raod,,Medina,OH,44256,MEDINA
Farmers Market Of Picayune,201,Us-11,,Picayune,MS,39466,PEARL RIVER
Farmers Market Of Sheffield,,Po Box 183,,Sheffield,MA,01257,BERKSHIRE
Farmers Market Of The Ozarks,2144,E Republic Rd,Ste B103,Springfield,MO,65804,GREENE
Farmers Market Ogden,,25th & Grant Ave,,Ogden,UT,84401,WEBER
Farmers Market Place Llc,101,3rd Ave NE,Outside the SPAM Museum,Austin,MN,55912,MOWER
Farmers Market- Ames,304,Main St,,Ames,IA,50010,STORY
Farmers Markets At The Capitol,124,W Allegan St,,Lansing,MI,48933,INGHAM
Farmers Of Orange NC,201,South Estes Drive,,Chapel Hill,NC,27514,ORANGE
"Farmers On The Square,LLC",2A,N Hanover St,,Carlisle,PA,17013,CUMBERLAND
"Farmers' Market Association, Inc. Of Taylor County",73,Animal Shelter Rd,,Campbellsville,KY,42718,TAYLOR
Farmers' Market Of Black Rock,481,Brewster St,,Bridgeport,CT,06605,FAIRFIELD
Farmers' Market on The Green,324,Mill St,,Waterbury,CT,06706,NEW HAVEN
Farmington Farmers Market Association,129,Main St,Courthouse Parking Lot,Farmington,ME,04938,FRANKLIN
Farmington Growers Market,3041,E Main St,,Farmington,NM,87402,SAN JUAN
"Farms By Amber, Llc",5001,S Cottage Ave,,Independence,MO,64055,JACKSON
Farmville Community Marketplace,213,North St,,Farmville,VA,23901,PRINCE EDWARD
"Farwell's Art, Craft And Farmers Market",124,W Illinois St,,Farwell,MI,48622,CLARE
Fayette Co Farmers Market,100,N Court St,,Fayetteville,WV,25840,FAYETTE
Fayette County Farmer's Market,401,N Central Ave,,Connersville,IN,47331,FAYETTE
Fayette County Farmers Market,1200,Virginia Street,,Oak Hill,WV,25901,FAYETTE
Fayette County Farmers Market Association,100,E East Street,City parking lot,Washington Court House,OH,43160,FAYETTE
Fayetteville Farmers Market,21,W Mountain St,Ste 121,Fayetteville,AR,72701,WASHINGTON
Fcc Of Norwalk Inc Farmers Market,3,Lewis St,,Norwalk,CT,06851,FAIRFIELD
Federal Way Farmers Market,1701,S. 320th,,Federal Way,WA,98023,KING
Feedmore Mobile Market,91,Holt St,,Buffalo,NY,14206,ERIE
Felton Farmers Market,120,Russell Ave,,Felton,CA,95018,SANTA CRUZ
Fenton & Linden Farmers Market,150,S Leroy St,,Fenton,MI,48430,GENESEE
Fergus Falls Farmers Market,1110,W Lincoln Ave,,Fergus Falls,MN,56537,OTTER TAIL
Ferguson Farmers Market,501,S Florissant Rd,,Saint Louis,MO,63135,ST LOUIS
Fernley Poolside Farmers Market,300,Cottonwood Ln,,Fernley,NV,89408,LYON
FERRY PLAZA FARMERS MARKET-CUESA,1,Ferry Building,Ste 50,San Francisco,CA,94111,SAN FRANCISCO
Ferryville Farmers Market - Market In The Park,170,Pine St,,Ferryville,WI,54628,CRAWFORD
Festival Farmers Market,127,Kenyon Rd,,Cobleskill,NY,12043,SCHOHARIE
"Fib Farm, Llc",1451,Compton Rd,,Cincinnati,OH,45231,HAMILTON
Field Fresh Farmers Market,797,E Patrick St,,Frederick,MD,21701,FREDERICK
Field To Family Online Farmers Market,1049,US-6,,Iowa City,IA,52240,JOHNSON
Fightingville Fresh,315,W Simcoe St,,Lafayette,LA,70501,LAFAYETTE
Figueroa & 7th CFM,735,S. Figueroa St.,,Los Angeles,CA,90017,LOS ANGELES
Fillmore Farmers Market,35,S Genesee St,,Fillmore,NY,14735,ALLEGANY
Fillmore Farmers' Market,1700,O'Farrell St,,San Francisco,CA,94115,SAN FRANCISCO
FINDLAY MARKET,1801,Race St,Farmers Market,CINCINNATI,OH,45202,HAMILTON
Finland Farmers Market,6866,Cramer Rd,Clair Nelson Center,Finland,MN,55603,LAKE
Finneytown Farmers Market,9150,Winton Rd,,Cincinnati,OH,45231,HAMILTON
First Generation Farmer,15192,Shangri la Rd,,Duncanville,AL,35456,TUSCALOOSA
Fishers Farmers Market At Saxony,13578,E 131 St,,Fishers,IN,46037,HAMILTON
Fishers Farmers Market At The Amp,6,Municipal Dr,,Fishers,IN,46038,HAMILTON
Fit-2-Serve Farmers Market,1320,Lafayette Ave,,Mattoon,IL,61938,COLES
Fitchburg Farmers Market,170,Boulder Dr,,Fitchburg,MA,01420,WORCESTER
FLAGSTAFF COMMUNITY MKT,211,W Aspen Ave,,Flagstaff,AZ,86001,COCONINO
Fleischer Family Farm Stand,2005,S Zephyr Ct,,Lakewood,CO,80227,JEFFERSON
Florence Farmers Market,1200,Bay St,,Florence,OR,97439,LANE
Florin Farmers' Market Ebt Association,5901,Florin Rd,,Sacramento,CA,95823,SACRAMENTO
Floyd Farmer's Market,203,S Locust St,Ste H,Floyd,VA,24091,FLOYD
Floyds Knobs Farmers Market Incorporated,400 blk,Lafollette Station,Next To Landmark Dental Care,Floyds Knobs,IN,47119,FLOYD
Flying M Seasonal Food Market,1314,2nd St S,,Nampa,ID,83651,CANYON
Foggy Bottom Freshfarm Market,2300,"I Street, Nw",23rd & I st NW Walkway,Washington,DC,20052,DIST OF COLUMBIA
Foley's Produce,21419,Renton Maple Valley Rd SE,,Maple Valley,WA,98038,KING
Fondy Food Center Inc,2200,W Fond Du Lac Ave,,Milwaukee,WI,53206,MILWAUKEE
Food Shed Alliance -Salida Farmers Market,527,H Street,,Salida,CO,81201,CHAFFEE
FOOD TRUST,1617,John F Kennedy Blvd,Ste 900,Philadelphia,PA,19103,PHILADELPHIA
Foodshare Bamberg,13416,Charleston-Augusta Road,,Denmark,SC,29402,CHARLESTON
Foote Family Meats,2357,Curry Road C,,Texico,NM,88135,CURRY
Foothills Farmers Market,126,W Marion St,,Shelby,NC,28150,CLEVELAND
For Oak Cliff Farmers Market,907,E Ledbetter Dr,,Dallas,TX,75216,DALLAS
Fordham Night Market,189,E Fordham Rd,,Bronx,NY,10468,BRONX
Forest Farmers Market,15583,Forest Rd,,Forest,VA,24551,BEDFORD
Forest Grove Farmer's Market,2030,Main St,Ste A,Forest Grove,OR,97116,WASHINGTON
Forrest City Farmers Market,1335,N Washington St,,Forrest City,AR,72335,ST FRANCIS
FORSYTH FARMERS MARKET,13,E Park Ave,,Savannah,GA,31401,CHATHAM
Fort Ben Farmers Market,8920,Otis Ave,,Indianapolis,IN,46216,MARION
Fort Bragg Farmers Market,400,N Franklin St,,Fort Bragg,CA,95437,MENDOCINO
Fort Collins Winter Farmers Market,215,E Foothills Pkwy,,Fort Collins,CO,80525,LARIMER
Fort Collins Winter Farmers Market,215,E Foothills Pkwy,,Fort Collins,CO,80525,LARIMER
Fort Farmers Market,,Milwaukee Ave & Main St,,Fort Atkinson,WI,53538,JEFFERSON
Fort Mason Farmers Market,2,Marina Blvd,,San Francisco,CA,94123,SAN FRANCISCO
Fort Smith Farmers Market,201,Garrison Ave,,Fort Smith,AR,72901,SEBASTIAN
Fort Sumner Farmer's Maker's Market,1099,E Sumner Ave,,Fort Sumner,NM,88119,DE BACA
Fort Thomas Farmers Market,801,Cochran Avenue,,Fort Thomas,KY,41075,CAMPBELL
Fort Wayne's Farmers Market,1795,Broadway,,Fort Wayne,IN,46802,ALLEN
Fortuna Certified FM-North Coast Growers Assn,10th St.,Between,Main & L Streets,Fortuna,CA,95540,HUMBOLDT
Fountain Inn Farmers Market,110,Depot St,,Fountain Inn,SC,29644,GREENVILLE
Four Mile Run Farmers Market,4109,Mount Vernon Ave,,Alexandria,VA,22305,ALEXANDRIA
Four Sisters Farmers Market,1414,E Franklin Ave,,Minneapolis,MN,55404,HENNEPIN
Frank Produce,420,S Catalina St,,Los Angeles,CA,90020,LOS ANGELES
Frankenmuth Farmers Market,534,N Main St,,Frankenmuth,MI,48734,SAGINAW
Frankie's Outdoor Market,1019,Princess St,,Wilmington,NC,28401,NEW HANOVER
FRANKLIN COUNTY FARMERS MARKET,404,Wilkinson Blvd,,Frankfort,KY,40601,FRANKLIN
Franklin Farmer Market,200,Main St,,Franklin,MA,02038,NORFOLK
Franklin Farmers Market,151,W Jefferson St,,Franklin,IN,46131,JOHNSON
Franklin Farmers Market,25,Institute St,,Franklin,NY,13775,DELAWARE
Franklin Farmers' Market,378,Central St,,Franklin,NH,03235,MERRIMACK
Franklin Park Conservatory And Botanical Gardens,1777,E Broad St,,Columbus,OH,43203,FRANKLIN
"Franklin-Simpson Farmers' Market, Inc.",304,N Main St,,Franklin,KY,42134,SIMPSON
Fred Cammack Corydon Farmer's Market,124,S Mulberry St,,Corydon,IN,47112,HARRISON
Fredericksburg Farmers Market,900,PRINCE EDWARD ST,HURKAMP PARK,Fredericksburg,VA,22401,FREDERICKSBURG
"Fredonia Farmers Market, Inc",9-11,Church St.,,Fredonia,NY,14063,CHAUTAUQUA
Fredrick Douglas Upo Family Share,3240,Stanton Rd SE,,Washington,DC,20020,DIST OF COLUMBIA
Freedom Farmers' Market,453,Freedom Pkwy NE,,Atlanta,GA,30307,FULTON
Freedom Farms,2222,Ne 27th St,,Oklahoma City,OK,73111,OKLAHOMA
Freemen's Town Farmers Market,1108,Victor St,,Houston,TX,77019,HARRIS
Freeport Community Farmers Market,Baldwin,"Long Island Rail Train Station,",BA - 12 Parking,Baldwin,NY,11510,NASSAU
Freight House Farmers' Market,421,W River Dr,,Davenport,IA,52801,SCOTT
Frenchtown Heritage Market Place,524,N M L King Jr Blvd,,Tallahassee,FL,32301,LEON
Fresh Farmer's Market,638,N 20th St,,East Saint Louis,IL,62205,ST CLAIR
Fresh Friday Farmers Market,,PO Box 1,,Mountain Home,ID,83647,ELMORE
Fresh Roots Farmers Market,491,E McLemore Ave,,Memphis,TN,38106,SHELBY
Fresh Roots Farmers Market,6120,Winchester Rd,,Memphis,TN,38115,SHELBY
Fresh Start Market Co LLC,2070,Webster Rd,,Summersville,WV,26651,NICHOLAS
Fresh Vibes Market,2010,Fulton St,,Brooklyn,NY,11233,KINGS
Freshfarm Arlington Courthouse Farmers Market,1425,N Courthouse Rd,,Arlington,VA,22201,ARLINGTON
Freshfarm Columbia Heights Farmers Market,1375,Kenyon St NW,,Washington,DC,20010,DIST OF COLUMBIA
Freshfarm Mosaic Market,2910,District Ave,,Fairfax,VA,22031,FAIRFAX
Freshfarm Noma Market,201,L Street Ne,,Washington,DC,20002,DIST OF COLUMBIA
Freshfarm Oakton Farmers Market,2854,Hunter Mill Rd,,Oakton,VA,22124,FAIRFAX
Fresno Flea Market,1641,Chance,,Fresno,CA,93704,FRESNO
"Friends Of The Farmers Market, Inc.",108,w ROANOKE ST,,Blacksburg,VA,24060,MONTGOMERY
Friends Of The Morton Parks,700,Main Ave,,Morton,WA,98356,LEWIS
Friends Of The Rochester Public Market - FM,280,Union St N,general market address,Rochester,NY,14609,MONROE
From The Ground Farmers Market Collective Calumet,340,6th St,,Calumet,MI,49913,HOUGHTON
From The Ground Farmers Market Collective Hancock,417,Quincy St,,Hancock,MI,49930,HOUGHTON
From The Ground Farmers Market Collective Houghton,56,Huron St,,Houghton,MI,49931,HOUGHTON
From The Ground Farmers Market Collective Lake Lin,100,Calumet St,,Lake Linden,MI,49945,HOUGHTON
Fruita Farmer's Market,250,S Elm St,,Fruita,CO,81521,MESA
"Fuller Syndicate, LLC",14461,Akam Rd,,Corry,PA,16407,ERIE
Fullerton Certified Farmers Market Inc,340,W Commonwealth Ave,,Fullerton,CA,92832,ORANGE
Fulton Farmers Market,,Chowen Ave S,Parking lot,Minneapolis,MN,55410,HENNEPIN
Fulton Stall Market,91,South St,,New York,NY,10038,NEW YORK
Fulton Street Farmers Market,1145,Fulton St E,,Grand Rapids,MI,49503,KENT
Fuquay-varina Growers Market,121,N Main St,,Fuquay Varina,NC,27526,WAKE
Future Neenah Farmers Market,210,E Wisconsin Ave,,Neenah,WI,54956,WINNEBAGO
Gainesville Farmers Market,13710,Milestone Ct,,Gainesville,VA,20155,PRINCE WILLIAM
Galesburg Farmers' Market,362,E Simmons St,,Galesburg,IL,61401,KNOX
Galleria At Tyler Certified Farmers' Market,1370,Galleria at Tyler,,Riverside,CA,92503,RIVERSIDE
Galloway Green Market,615,E Moss Mill Rd,,Galloway,NJ,08205,ATLANTIC
Gallup Farmers Market,215,W Aztec Ave,Gallup Downtown Courthouse Plaza,Gallup,NM,87301,MCKINLEY
Galt Friday Night Market,200,4th Street,4th Street Promenade,Galt,CA,95632,SACRAMENTO
Galveston's Own Farmers Market,1315,21st St,,Galveston,TX,77550,GALVESTON
Garberville Certified Farmers' Market,Town Sq.,Church Street,Garberville Town Square,Garberville,CA,95542,HUMBOLDT
Gardena Farmers Market,15446,S Western Ave,,Gardena,CA,90249,LOS ANGELES
Garfield Community Farm Farmer's Market,509,Wicklow St,,Pittsburgh,PA,15224,ALLEGHENY
Garfield Park Community Council,135,North Kedzie,Garfield Park Neighborhood Market,Chicago,IL,60612,COOK
Garfield Park Farmers Market,8300,S Meridian St,,Indianapolis,IN,46217,MARION
Gary Comer Youth Center Farmers' Market,7200,S Ingleside Ave,,Chicago,IL,60619,COOK
Garysburg Farmers Market,504,Nc 46 Highway,,Garysburg,NC,27831,NORTHAMPTON
Gaston Farm And Artisans Market,200,1st St,,Gaston,OR,97119,WASHINGTON
Gastonia Farmers Market,410,E Long Ave,,Gastonia,NC,28054,GASTON
Gateway Farmers Market,2,Greyhound Lane,Gateway Community Center,Smithers,WV,25186,FAYETTE
Gateway Growers Market,100,Isleta Blvd SW,Gateway Park,Albuquerque,NM,87105,BERNALILLO
Gateway105,1322,E 105th St,,Cleveland,OH,44106,CUYAHOGA
Gathering Cafe,325,Franklin St,,Fayetteville,NC,28301,CUMBERLAND
Geary Community Farmers Market,1025,S Washington St,,Junction City,KS,66441,GEARY
Gendler Grapevine Fresh Stop Market At The J,3600,Dutchmans Ln,,Louisville,KY,40205,JEFFERSON
Genesee Country Farmers Market,,Corner of Bank St & Alva Place,,Batavia,NY,14020,GENESEE
Geneva Farmers Market,35,Lake Front Dr,,Geneva,NY,14456,ONTARIO
Georgetown Township Farmers Market,1525,Baldwin St,,Jenison,MI,49428,OTTAWA
"German Coast Farmers Market, Incorporated",13786,River Rd,,Destrehan,LA,70047,ST CHARLES
German Coast Farmers' Market,1313,Paul Maillard Rd,,Luling,LA,70070,ST CHARLES
Germantown Farmers Market,5501,Germantown Ave,,Philadelphia,PA,19144,PHILADELPHIA
Germantown Grocer,5520,Germantown Ave,,Philadelphia,PA,19144,PHILADELPHIA
Get Healthy DeSoto dba De Soto Farmers Market,520,N Main St,,De Soto,MO,63020,JEFFERSON
Get Moving Houston Farmers Market,6402,Market St,,Houston,TX,77020,HARRIS
Gifford Park Neighborhood Market,520,N 33rd St,,Omaha,NE,68131,DOUGLAS
Gilliam's Community Garden,1286,Oakland Ter Sw,,Atlanta,GA,30310,FULTON
Gilmanton's Own Market,296,NH Route 140,,Gilmanton,NH,03237,BELKNAP
Gladstone Farmers Market,4109,Ne Pleasant Valley Rd,,Gladstone,MO,64119,CLAY
Gladwin Farmers Market,200,S State St,,Gladwin,MI,48624,GLADWIN
Glasgow Park Farmers Market,2275,Pulaski Hwy,,Newark,DE,19702,NEW CASTLE
GLENS FALLS FARMERS MARKET ASSOC,,South Street Pavillion,,GLENS FALLS,NY,12801,WARREN
Glenwood People's Market,1417,Glenwood Ave,,Greensboro,NC,27403,GUILFORD
Glenwood Sunday Market,1448,W Morse Ave,,Chicago,IL,60626,COOK
Glenwood's Downtown Market,,7th And Grand Avenue,,Glenwood Springs,CO,81601,GARFIELD
Glory Lane Farm Market,8386,Mowatt Rd,,Silverwood,MI,48760,LAPEER
Glover Park-burleith Farmers Market,1819,35th St NW,,Washington,DC,20007,DIST OF COLUMBIA
GNV Market At Heartwood,619,S Main St,,Gainesville,FL,32601,ALACHUA
Go Growcery Market,725,Stewart St,,Welch,WV,24801,MCDOWELL
Goddard Park Farmers Market,1095,Ives Rd,,East Greenwich,RI,02818,KENT
Gofarm,600,9th St,,Golden,CO,80401,JEFFERSON
Gofarm,760,Warner Dr,,Golden,CO,80401,JEFFERSON
Gogebic Range Farmers Market Association,150,N Lowell St,,Ironwood,MI,49938,GOGEBIC
Golden Camp Market,2463,Golden Camp Rd,,Augusta,GA,30906,RICHMOND
Golden Farmers Market,1019,10th St,,Golden,CO,80401,JEFFERSON
"Golden Villa Farmers Market,llc",333,E Washington St,,Stockton,CA,95202,SAN JOAQUIN
Goldendale Farmers Market,903,W Broadway,,Goldendale,WA,98620,KLICKITAT
Goochland Fairground Farmers Market,1889,Sandy Hook Rd,,Goochland,VA,23063,GOOCHLAND
Good Hope Farm Market,1580,Morrisville Carpenter Rd,,Cary,NC,27519,WAKE
Good Local Markets - Tyler Street,9150,Garland Rd,,Dallas,TX,75218,DALLAS
